
2024/12/27 (23:11:50) | ===> btop++ v.1.4.0
2024/12/27 (23:11:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:05:28) | ===> btop++ v.1.4.0
2024/12/28 (07:05:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:05:47) | ===> btop++ v.1.4.0
2024/12/28 (07:05:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:07:18) | ===> btop++ v.1.4.0
2024/12/28 (07:07:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:07:28) | ===> btop++ v.1.4.0
2024/12/28 (07:07:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:07:47) | ===> btop++ v.1.4.0
2024/12/28 (07:07:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:08:00) | ===> btop++ v.1.4.0
2024/12/28 (07:08:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:08:23) | ===> btop++ v.1.4.0
2024/12/28 (07:08:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:08:46) | ===> btop++ v.1.4.0
2024/12/28 (07:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:08:51) | ===> btop++ v.1.4.0
2024/12/28 (07:08:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:18:51) | ===> btop++ v.1.4.0
2024/12/28 (07:18:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:30:48) | ===> btop++ v.1.4.0
2024/12/28 (07:30:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:32:28) | ===> btop++ v.1.4.0
2024/12/28 (07:32:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:35:48) | ===> btop++ v.1.4.0
2024/12/28 (07:35:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (07:37:02) | ===> btop++ v.1.4.0
2024/12/28 (07:37:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (15:26:53) | ===> btop++ v.1.4.0
2024/12/28 (15:26:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (18:51:17) | ===> btop++ v.1.4.0
2024/12/28 (18:51:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (18:54:17) | ===> btop++ v.1.4.0
2024/12/28 (18:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (19:04:30) | ===> btop++ v.1.4.0
2024/12/28 (19:04:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (14:41:26) | ===> btop++ v.1.4.0
2024/12/30 (14:41:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (15:12:03) | ===> btop++ v.1.4.0
2024/12/30 (15:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:32:44) | ===> btop++ v.1.4.0
2024/12/30 (17:32:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:43:18) | ===> btop++ v.1.4.0
2024/12/30 (17:43:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:43:52) | ===> btop++ v.1.4.0
2024/12/30 (17:43:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (20:41:50) | ===> btop++ v.1.4.0
2024/12/30 (20:41:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (16:32:19) | ===> btop++ v.1.4.0
2024/12/31 (16:32:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (15:18:00) | ===> btop++ v.1.4.0
